New_ID,iMab100nM_6.5_5,imseeker
V2_IMOTIF_10131,24.66,0.199
V2_IMOTIF_10132,0.35,0.288
V2_IMOTIF_10133,14.75,0.379
V2_IMOTIF_10134,-0.25,0.0
V2_IMOTIF_10135,17.56,0.168
V2_IMOTIF_10136,20.78,0.214
V2_IMOTIF_10137,13.48,0.0
V2_IMOTIF_10138,-0.39,0.0
V2_IMOTIF_10139,18.55,0.244
V2_IMOTIF_1014,21.24,0.397
V2_IMOTIF_10140,0.92,0.0
V2_IMOTIF_10141,15.77,0.213
V2_IMOTIF_10142,25.74,0.176
V2_IMOTIF_10143,6.45,0.0
V2_IMOTIF_10144,5.45,0.388
V2_IMOTIF_10145,22.95,0.279
V2_IMOTIF_10146,1.68,0.0
V2_IMOTIF_10147,-0.08,0.0
V2_IMOTIF_10148,13.68,0.364
V2_IMOTIF_10149,2.78,0.337
V2_IMOTIF_1015,5.09,0.353
V2_IMOTIF_10150,8.84,0.317
V2_IMOTIF_10151,2.51,0.197
V2_IMOTIF_10152,1.08,0.0
V2_IMOTIF_10153,1.53,0.0
V2_IMOTIF_10154,1.45,0.0
V2_IMOTIF_10155,1.44,0.316
V2_IMOTIF_10156,0.22,0.27
V2_IMOTIF_10157,10.95,0.0
V2_IMOTIF_10158,13.73,0.0
V2_IMOTIF_10159,32.93,0.345
V2_IMOTIF_1016,8.64,0.428
V2_IMOTIF_10160,2.08,0.0
V2_IMOTIF_10161,3.93,0.279
V2_IMOTIF_10162,18.2,0.227
V2_IMOTIF_10163,0.68,0.293
V2_IMOTIF_10164,-0.35,0.0
V2_IMOTIF_10165,-0.42,0.0
V2_IMOTIF_10166,24.45,0.309
V2_IMOTIF_10167,22.39,0.217
V2_IMOTIF_10168,20.05,0.329
V2_IMOTIF_10169,9.21,0.391
V2_IMOTIF_1017,7.64,0.0
V2_IMOTIF_10170,1.28,0.0
V2_IMOTIF_10171,2.35,0.365
V2_IMOTIF_10172,2.15,0.398
V2_IMOTIF_10173,5.04,0.37
V2_IMOTIF_10174,9.23,0.396
V2_IMOTIF_10175,19.48,0.417
V2_IMOTIF_10176,-0.21,0.38
V2_IMOTIF_10177,1.21,0.394
V2_IMOTIF_10178,16.67,0.308
V2_IMOTIF_10179,-0.32,0.0
V2_IMOTIF_1018,30.51,0.286
V2_IMOTIF_10180,-0.46,0.0
V2_IMOTIF_10181,-0.45,0.267
V2_IMOTIF_10182,17.82,0.363
V2_IMOTIF_10183,-0.08,0.374
V2_IMOTIF_10184,11.26,0.228
V2_IMOTIF_10185,-0.44,0.0
V2_IMOTIF_10186,11.31,0.4
V2_IMOTIF_10187,3.36,0.0
V2_IMOTIF_10188,-0.42,0.0
V2_IMOTIF_10189,-0.43,0.347
V2_IMOTIF_1019,32.64,0.279
V2_IMOTIF_10190,-0.43,0.0
V2_IMOTIF_10191,10.31,0.257
V2_IMOTIF_10192,0.22,0.0
V2_IMOTIF_10193,13.8,0.363
V2_IMOTIF_10194,23.78,0.423
V2_IMOTIF_10195,17.79,0.305
V2_IMOTIF_10196,26.8,0.439
V2_IMOTIF_10197,-0.42,0.0
V2_IMOTIF_10198,17.42,0.255
V2_IMOTIF_10199,15.99,0.255
V2_IMOTIF_102,-0.38,0.0
V2_IMOTIF_1020,27.26,0.21
V2_IMOTIF_10200,27.52,0.179
V2_IMOTIF_10201,10.7,0.0
V2_IMOTIF_10202,0.14,0.376
V2_IMOTIF_10203,7.35,0.0
V2_IMOTIF_10204,-0.28,0.0
V2_IMOTIF_10205,20.36,0.0
V2_IMOTIF_10206,3.46,0.0
V2_IMOTIF_10207,29.32,0.299
V2_IMOTIF_10208,23.65,0.253
V2_IMOTIF_10209,21.1,0.299
V2_IMOTIF_1021,34.67,0.297
V2_IMOTIF_10210,27.63,0.316
V2_IMOTIF_10211,1.13,0.0
V2_IMOTIF_10212,22.13,0.209
V2_IMOTIF_10213,18.41,0.252
V2_IMOTIF_10214,32.86,0.231
V2_IMOTIF_10215,14.51,0.197
V2_IMOTIF_10216,18.83,0.402
V2_IMOTIF_10217,24.22,0.339
V2_IMOTIF_10218,19.36,0.15
V2_IMOTIF_10219,11.19,0.0
V2_IMOTIF_1022,25.1,0.318
V2_IMOTIF_10220,17.7,0.394
V2_IMOTIF_10221,3.84,0.245
V2_IMOTIF_10222,16.95,0.0
V2_IMOTIF_10223,13.41,0.366
V2_IMOTIF_10224,15.58,0.232
V2_IMOTIF_10225,31.06,0.244
V2_IMOTIF_10226,23.91,0.0
V2_IMOTIF_10227,0.77,0.0
V2_IMOTIF_10228,24.96,0.0
V2_IMOTIF_10229,7.46,0.382
V2_IMOTIF_1023,26.99,0.314
V2_IMOTIF_10230,10.85,0.262
V2_IMOTIF_10231,1.48,0.371
V2_IMOTIF_10232,-0.23,0.0
V2_IMOTIF_10233,24.08,0.236
V2_IMOTIF_10234,19.14,0.324
